"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2024-01-01","2024","01","01","","-0.7","","-3.1","","-1.9","","19.9","","0.0","","","","","","0.1","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2024-01-02","2024","01","02","","1.5","","-1.5","","0.0","","18.0","","0.0","","","","","","0.0","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2024-01-03","2024","01","03","","3.1","","0.6","","1.9","","16.1","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2024-01-04","2024","01","04","","1.8","","-6.0","","-2.1","","20.1","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2024-01-05","2024","01","05","","0.4","","-2.1","","-0.9","","18.9","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2024-01-06","2024","01","06","","2.1","","-3.5","","-0.7","","18.7","","0.0","","","","","","5.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2024-01-07","2024","01","07","","0.7","","-4.2","","-1.7","","19.7","","0.0","","","","","","0.1","","5","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2024-01-08","2024","01","08","","3.7","","0.6","","2.2","","15.8","","0.0","","","","","","0.0","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2024-01-09","2024","01","09","","7.0","","0.6","","3.8","","14.2","","0.0","","","","","","31.2","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2024-01-10","2024","01","10","","6.7","","0.7","","3.7","","14.3","","0.0","","","","","","0.0","","","","","M","","M"
